iter	Logloss
0	0.6375998702
1	0.5920316241
2	0.5553062919
3	0.5243534712
4	0.4968961459
5	0.4742251418
6	0.4542245123
7	0.4395566962
8	0.4272740178
9	0.4160490644
10	0.4059159198
11	0.3979389429
12	0.3907474645
13	0.3838365517
14	0.3777604802
15	0.3728292081
16	0.368588736
17	0.3632230188
18	0.359172951
19	0.3557123831
20	0.352511224
21	0.3491547858
22	0.346342825
23	0.3429777339
24	0.3406069603
25	0.3379611605
26	0.3358479075
27	0.3341203416
28	0.3322994223
29	0.3303701021
30	0.328009551
31	0.3264118248
32	0.3245649982
33	0.3230222223
34	0.3216800846
35	0.3205920882
36	0.3195009278
37	0.3185087989
38	0.3163232873
39	0.315213544
40	0.3141518503
41	0.3130640597
42	0.311564656
43	0.3109869673
44	0.3100096374
45	0.3093213596
46	0.3079078467
47	0.3068631123
48	0.3061418743
49	0.3052037841
50	0.3042455444
51	0.3035942804
52	0.3031141794
53	0.302525229
54	0.3015942879
55	0.3011123923
56	0.3002596615
57	0.2996844173
58	0.2989993031
59	0.2983259365
60	0.2978106978
61	0.2969964164
62	0.2965798664
63	0.2953750611
64	0.2947857336
65	0.2942825022
66	0.2936873897
67	0.2933903477
68	0.2929983032
69	0.2923122181
70	0.2916189147
71	0.2907488422
72	0.2901357768
73	0.2892121666
74	0.2889606624
75	0.288605355
76	0.2882035371
77	0.2875931356
78	0.2872623454
79	0.2868657262
80	0.2866462466
81	0.2861623399
82	0.2856168888
83	0.2850571147
84	0.2845430383
85	0.2840863904
86	0.2837645489
87	0.2834795304
88	0.2829672475
89	0.282441249
90	0.2822050683
91	0.2819784493
92	0.2816052031
93	0.281078843
94	0.280713347
95	0.2805281574
96	0.2803462061
97	0.2799498155
98	0.2795323999
99	0.2792462875
100	0.2788934844
101	0.2784908251
102	0.2782085363
103	0.2780961114
104	0.2776579759
105	0.2772088049
106	0.2768340685
107	0.2763812704
108	0.2759310944
109	0.2757591685
110	0.2753856341
111	0.2750276822
112	0.274767723
113	0.2744687229
114	0.2743384268
115	0.2742060089
116	0.2740209257
117	0.2736108661
118	0.2734321166
119	0.2728340378
120	0.2728240387
121	0.2726299914
122	0.2724156104
123	0.2721163664
124	0.271885406
125	0.2716031845
126	0.2713965372
127	0.2712441518
128	0.2710706976
129	0.2708465172
130	0.2706681622
131	0.2703967925
132	0.2701281095
133	0.2699366991
134	0.2697682602
135	0.2695774448
136	0.2694090029
137	0.2691066072
138	0.2686639669
139	0.2685561287
140	0.2683581256
141	0.2679975012
142	0.2678239298
143	0.2676780416
144	0.2674839224
145	0.2672113029
146	0.2671148115
147	0.2669081302
148	0.2666741957
149	0.2665398115
150	0.2662786709
151	0.26603522
152	0.2658243845
153	0.2656265684
154	0.2655389328
155	0.2653708958
156	0.2651794018
157	0.2649925815
158	0.2647264598
159	0.264487628
160	0.2644085446
161	0.2642678219
162	0.2640893857
163	0.2638497152
164	0.2637335068
165	0.2637269977
166	0.2635673237
167	0.2634738139
168	0.2633388556
169	0.2631516343
170	0.2629712329
171	0.2628090217
172	0.2626520572
173	0.2623654929
174	0.2621167079
175	0.26192405
176	0.2617209012
177	0.2616095884
178	0.2615156352
179	0.2613327912
180	0.261193237
181	0.2610477948
182	0.2608800381
183	0.2608324329
184	0.2607487325
185	0.2604666637
186	0.2603417703
187	0.2601672879
188	0.2598909627
189	0.2596747242
190	0.2595145976
191	0.2595015477
192	0.2593507902
193	0.2590906628
194	0.2589385198
195	0.2588682905
196	0.2586951426
197	0.2583863371
198	0.2583017248
199	0.2581712502
200	0.2580894447
201	0.2579035921
202	0.2578716086
203	0.2578076949
204	0.2575422274
205	0.2574021753
206	0.2572832026
207	0.257151047
208	0.2569967087
209	0.256843451
210	0.2567737768
211	0.2566295329
212	0.2564314849
213	0.2562291459
214	0.2561174242
215	0.2560232818
216	0.2556944078
217	0.2556251816
218	0.255375729
219	0.2551973813
220	0.2549481987
221	0.2548966254
222	0.2546702454
223	0.2545240612
224	0.2544511808
225	0.2544019036
226	0.2542566085
227	0.2541288731
228	0.2539541593
229	0.2539036312
230	0.253717304
231	0.2535662791
232	0.2534836906
233	0.2532724928
234	0.2531163125
235	0.2530326613
236	0.2529289958
237	0.2528028363
238	0.2525230887
239	0.2524381451
240	0.2523302797
241	0.2521614403
242	0.2521381801
243	0.2519209615
244	0.2518269961
245	0.251754107
246	0.2512924686
247	0.2512006146
248	0.2511410977
249	0.2509425343
250	0.2507429866
251	0.2505846291
252	0.2504424531
253	0.2503783824
254	0.2501171336
255	0.2497707651
256	0.2496882317
257	0.2496377283
258	0.2495485827
259	0.2493567861
260	0.2492679796
261	0.249086948
262	0.2489911095
263	0.2489081983
264	0.2487766794
265	0.2486989945
266	0.2485660524
267	0.2484148999
268	0.248115288
269	0.2479211795
270	0.2477996281
271	0.2475392031
272	0.2474320601
273	0.2472441074
274	0.2470530866
275	0.2469706995
276	0.2468721781
277	0.2468106681
278	0.2466312838
